OrderItemID,OrderID,ProductID,Quantity,UnitPrice,Discount,LineAmount
ITEM00000001,ORD0000428,PROD00043,5,1033.45,0.1,4650.53
ITEM00000002,ORD0002129,PROD00031,2,27602.46,0.05,52444.67
ITEM00000003,ORD0001614,PROD00045,1,24509.37,0.0,24509.37
ITEM00000004,ORD0003492,PROD00028,5,3343.12,0.0,16715.6
ITEM00000005,ORD0003681,PROD00054,1,36912.87,0.0,36912.87
ITEM00000006,ORD0004173,PROD00058,2,18182.64,0.0,36365.28
ITEM00000007,ORD0002038,PROD00021,5,22045.15,0.0,110225.75
ITEM00000008,ORD0002810,PROD00052,2,3686.71,0.0,7373.42
ITEM00000009,ORD0004064,PROD00094,1,30366.64,0.15,25811.64
ITEM00000010,ORD0003250,PROD00023,4,10927.01,0.05,41522.64
ITEM00000011,ORD0001210,PROD00051,1,26642.17,0.15,22645.84
ITEM00000012,ORD0000592,PROD00048,4,19471.18,0.0,77884.72
ITEM00000013,ORD0001144,PROD00091,1,36997.61,0.1,33297.85
ITEM00000014,ORD0000634,PROD00076,3,8213.19,0.1,22175.61
ITEM00000015,ORD0002761,PROD00014,1,32042.32,0.0,32042.32
ITEM00000016,ORD0000438,PROD00077,4,4512.83,0.05,17148.75
ITEM00000017,ORD0000300,PROD00051,1,26642.17,0.0,26642.17
ITEM00000018,ORD0000880,PROD00082,1,24230.95,0.0,24230.95
ITEM00000019,ORD0000330,PROD00033,3,14237.63,0.05,40577.25
ITEM00000020,ORD0002080,PROD00058,4,18182.64,,72730.56
ITEM00000021,ORD0001584,PROD00057,4,31419.96,0.05,119395.85
ITEM00000022,ORD0002763,PROD00048,5,19471.18,0.0,97355.9
ITEM00000023,ORD0003047,PROD00060,1,26022.82,0.1,23420.54
ITEM00000024,ORD0003625,PROD00084,2,33636.84,0.05,63910.0
ITEM00000025,ORD0001835,PROD00100,3,5870.04,0.0,17610.12
ITEM00000026,ORD0002103,PROD00044,3,25709.47,0.0,77128.41
ITEM00000027,ORD0000100,PROD00022,3,36913.73,0.0,110741.19
ITEM00000028,ORD0001029,PROD00003,2,4841.6,0.0,9683.2
ITEM00000029,ORD0003253,PROD00053,3,32924.49,0.0,98773.47
ITEM00000030,ORD0000613,PROD00036,3,25163.54,0.05,71716.09
ITEM00000031,ORD0003760,PROD00022,1,36913.73,0.05,35068.04
