OrderID,CustomerID,StoreID,OrderDate,OrderStatus,PaymentID
ORD0000875,CUST00143,STORE0001,2026-01-01,Completed,PAY0000875
ORD0000929,CUST00146,STORE0015,2026-01-01,Completed,PAY0000929
ORD0000946,CUST00057,STORE0014,2026-01-01,Completed,PAY0000946
ORD0001160,CUST00096,STORE0016,2026-01-01,Cancelled,PAY0001160
ORD0001439,CUST00124,STORE0005,2026-01-01,Completed,PAY0001439
ORD0001789,CUST00018,STORE0006,2026-01-01,Completed,PAY0001789
ORD0001821,CUST00041,STORE0018,2026-01-01,Completed,PAY0001821
ORD0002087,CUST00101,STORE0004,2026-01-01,Completed,PAY0002087
ORD0002165,CUST00089,STORE0008,2026-01-01,Completed,PAY0002165
ORD0002392,CUST00064,STORE0008,2026-01-01,Completed,PAY0002392
ORD0002648,CUST00053,STORE0015,2026-01-01,Cancelled,PAY0002648
ORD0002905,CUST00045,STORE0003,2026-01-01,Completed,PAY0002905
ORD0003132,CUST00086,STORE0015,2026-01-01,Completed,PAY0003132
ORD0003284,CUST00017,STORE0013,2026-01-01,Completed,PAY0003284
ORD0003561,CUST00067,STORE0009,2026-01-01,Completed,PAY0003561
ORD0003641,CUST00148,STORE0002,2026-01-01,Completed,PAY0003641
ORD0004096,CUST00063,STORE0007,2026-01-01,Completed,PAY0004096
ORD0000316,CUST00129,STORE0017,2026-01-02,Completed,PAY0000316
ORD0000350,CUST00020,STORE0010,2026-01-02,Completed,PAY0000350
ORD0000441,CUST00093,STORE0015,2026-01-02,Completed,PAY0000441
ORD0000702,CUST00132,STORE0010,2026-01-02,Completed,PAY0000702
ORD0001089,CUST00012,STORE0009,2026-01-02,Completed,PAY0001089
ORD0001143,CUST00077,STORE0005,2026-01-02,Completed,PAY0001143
ORD0001312,CUST00118,STORE0002,2026-01-02,Completed,PAY0001312
ORD0001446,CUST00091,STORE0018,2026-01-02,Completed,PAY0001446
ORD0001896,CUST00116,STORE0001,2026-01-02,Completed,PAY0001896
ORD0002133,CUST00014,STORE0010,2026-01-02,Completed,PAY0002133
ORD0002215,CUST00111,STORE0005,2026-01-02,Completed,PAY0002215
ORD0002286,CUST00121,STORE0017,2026-01-02,Completed,PAY0002286
ORD0002349,CUST00076,STORE0017,2026-01-02,Completed,PAY0002349
ORD0002403,CUST00104,STORE0004,2026-01-02,Completed,PAY0002403
ORD0002540,CUST00126,STORE0003,2026-01-02,Completed,PAY0002540
ORD0002594,CUST00033,STORE0005,2026-01-02,Completed,PAY0002594
ORD0002611,CUST00030,STORE0011,2026-01-02,Completed,PAY0002611
ORD0002698,CUST00124,STORE0002,2026-01-02,Completed,PAY0002698
ORD0002962,CUST00145,STORE0007,2026-01-02,Completed,PAY0002962
ORD0003225,CUST00080,STORE0015,2026-01-02,Completed,PAY0003225
ORD0003676,CUST00087,STORE0005,2026-01-02,Completed,PAY0003676
ORD0003722,CUST00072,STORE0005,2026-01-02,Completed,PAY0003722
ORD0003851,CUST00006,STORE0003,2026-01-02,Completed,PAY0003851
ORD0004181,CUST00061,STORE0008,2026-01-02,Completed,PAY0004181
ORD0000658,CUST00073,STORE0001,2026-01-03,Completed,PAY0000658
ORD0000982,CUST00101,STORE0002,2026-01-03,Completed,PAY0000982
ORD0001001,CUST00131,STORE0005,2026-01-03,Completed,PAY0001001
ORD0001057,CUST00100,STORE0013,2026-01-03,Completed,PAY0001057
ORD0001514,CUST00027,STORE0001,2026-01-03,Completed,PAY0001514
ORD0001682,CUST00138,STORE0002,2026-01-03,Completed,PAY0001682
ORD0001700,CUST00027,STORE0002,2026-01-03,Completed,PAY0001700
ORD0001952,CUST00068,STORE0002,2026-01-03,Completed,PAY0001952
ORD0002047,CUST00091,STORE0017,2026-01-03,Completed,PAY0002047
ORD0002493,CUST00010,STORE0007,2026-01-03,Completed,PAY0002493
ORD0003101,CUST00043,STORE0004,2026-01-03,Completed,PAY0003101
ORD0003316,CUST00014,STORE0001,2026-01-03,Completed,PAY0003316
ORD0003841,CUST00064,STORE0005,2026-01-03,Completed,PAY0003841
ORD0000247,CUST00040,STORE0010,2026-01-04,Completed,PAY0000247
ORD0000408,CUST00128,STORE0002,2026-01-04,Completed,PAY0000408
ORD0000510,CUST00118,STORE0007,2026-01-04,Completed,PAY0000510
ORD0000778,CUST00020,STORE0005,2026-01-04,Completed,PAY0000778
ORD0001190,CUST00059,STORE0003,2026-01-04,Completed,PAY0001190
ORD0001355,CUST00098,STORE0011,2026-01-04,Completed,PAY0001355
ORD0001678,CUST00073,STORE0008,2026-01-04,Completed,PAY0001678
ORD0002793,CUST00019,STORE0010,2026-01-04,Cancelled,PAY0002793
ORD0002901,CUST00099,STORE0016,2026-01-04,Completed,PAY0002901
ORD0002995,CUST00025,STORE0001,2026-01-04,Completed,PAY0002995
ORD0003323,CUST00021,STORE0006,2026-01-04,Cancelled,PAY0003323
ORD0000309,CUST00113,STORE0010,2026-01-05,Completed,PAY0000309
ORD0000428,CUST00145,STORE0018,2026-01-05,Completed,PAY0000428
ORD0001267,CUST00076,STORE0012,2026-01-05,Completed,PAY0001267
ORD0001302,CUST00087,STORE0016,2026-01-05,Completed,PAY0001302
ORD0001573,CUST00101,STORE0009,2026-01-05,Completed,PAY0001573
ORD0001814,CUST00097,STORE0018,2026-01-05,Completed,PAY0001814
ORD0001885,CUST00148,STORE0013,2026-01-05,Cancelled,PAY0001885
ORD0002005,CUST00107,STORE0010,2026-01-05,Completed,PAY0002005
ORD0002162,CUST00040,STORE0003,2026-01-05,Completed,PAY0002162
ORD0002415,CUST00064,STORE0017,2026-01-05,Completed,PAY0002415
ORD0002451,CUST00115,STORE0015,2026-01-05,Completed,PAY0002451
ORD0002596,CUST00090,STORE0014,2026-01-05,Completed,PAY0002596
ORD0002617,CUST00013,STORE0004,2026-01-05,Completed,PAY0002617
ORD0002980,CUST00024,STORE0001,2026-01-05,Completed,PAY0002980
ORD0003004,CUST00109,STORE0005,2026-01-05,Completed,PAY0003004
ORD0003189,CUST00146,STORE0010,2026-01-05,Completed,PAY0003189
ORD0003193,CUST00122,STORE0017,2026-01-05,Completed,PAY0003193
ORD0003245,CUST00124,STORE0011,2026-01-05,Completed,PAY0003245
ORD0003436,CUST00010,STORE0002,2026-01-05,Completed,PAY0003436
ORD0003500,CUST00118,STORE0009,2026-01-05,Completed,PAY0003500
ORD0003697,CUST00143,STORE0002,2026-01-05,Completed,PAY0003697
ORD0003706,CUST00012,STORE0006,2026-01-05,Completed,PAY0003706
ORD0004008,CUST00049,STORE0005,2026-01-05,Completed,PAY0004008
ORD0000126,CUST00059,STORE0011,2026-01-06,Completed,PAY0000126
ORD0001340,CUST00094,STORE0003,2026-01-06,Completed,PAY0001340
ORD0001629,CUST00016,STORE0001,2026-01-06,Completed,PAY0001629
ORD0001824,CUST00148,STORE0018,2026-01-06,Completed,PAY0001824
ORD0002180,CUST00113,STORE0017,2026-01-06,Completed,PAY0002180
ORD0002256,CUST00013,STORE0012,2026-01-06,Completed,PAY0002256
ORD0002309,CUST00058,STORE0016,2026-01-06,Completed,PAY0002309
ORD0002484,CUST00127,STORE0005,2026-01-06,Completed,PAY0002484
ORD0002564,CUST00110,STORE0004,2026-01-06,Completed,PAY0002564
ORD0002933,CUST00008,STORE0009,2026-01-06,Completed,PAY0002933
ORD0000019,CUST00040,STORE0007,2026-01-07,Completed,PAY0000019
ORD0000064,CUST00150,STORE0012,2026-01-07,Completed,PAY0000064
ORD0000117,CUST00015,STORE0008,2026-01-07,Completed,PAY0000117
ORD0000433,CUST00109,STORE0003,2026-01-07,Completed,PAY0000433
ORD0000686,CUST00142,STORE0009,2026-01-07,Completed,PAY0000686
ORD0000843,CUST00110,STORE0010,2026-01-07,Cancelled,PAY0000843
ORD0000927,CUST00054,STORE0013,2026-01-07,Completed,PAY0000927
ORD0001583,CUST00090,STORE0005,2026-01-07,Completed,PAY0001583
ORD0002048,CUST00099,STORE0016,2026-01-07,Completed,PAY0002048
ORD0002929,CUST00140,STORE0012,2026-01-07,Cancelled,PAY0002929
ORD0003987,CUST00076,STORE0002,2026-01-07,Completed,PAY0003987
ORD0000207,CUST00111,STORE0009,2026-01-08,Completed,PAY0000207
ORD0000281,CUST00063,STORE0012,2026-01-08,Completed,PAY0000281
ORD0000703,CUST00088,STORE0016,2026-01-08,Completed,PAY0000703
ORD0000932,CUST00066,STORE0017,2026-01-08,Completed,PAY0000932
ORD0002018,CUST00057,STORE0013,2026-01-08,Completed,PAY0002018
ORD0002486,CUST00065,STORE0016,2026-01-08,Completed,PAY0002486
ORD0003279,CUST00109,STORE0004,2026-01-08,Completed,PAY0003279
ORD0003288,CUST00112,STORE0014,2026-01-08,Completed,PAY0003288
ORD0003376,CUST00057,STORE0005,2026-01-08,Completed,PAY0003376
ORD0003601,CUST00078,STORE0008,2026-01-08,Completed,PAY0003601
ORD0003835,CUST00098,STORE0016,2026-01-08,Completed,PAY0003835
ORD0004182,CUST00088,STORE0004,2026-01-08,Completed,PAY0004182
ORD0000002,CUST00100,STORE0014,2026-01-09,Completed,PAY0000002
ORD0000024,CUST00038,STORE0010,2026-01-09,Completed,PAY0000024
ORD0000389,CUST00028,STORE0008,2026-01-09,Completed,PAY0000389
ORD0000641,CUST00111,STORE0015,2026-01-09,Completed,PAY0000641
ORD0000731,CUST00119,STORE0015,2026-01-09,Completed,PAY0000731
ORD0001170,CUST00073,STORE0014,2026-01-09,Completed,PAY0001170
ORD0001234,CUST00053,STORE0018,2026-01-09,Completed,PAY0001234
ORD0001246,CUST00147,STORE0018,2026-01-09,Completed,PAY0001246
ORD0001388,CUST00119,STORE0009,2026-01-09,Completed,PAY0001388
ORD0001490,CUST00039,STORE0011,2026-01-09,Completed,PAY0001490
ORD0001568,CUST00042,STORE0002,2026-01-09,Completed,PAY0001568
ORD0001853,CUST00062,STORE0016,2026-01-09,Completed,PAY0001853
ORD0002110,CUST00028,STORE0009,2026-01-09,Completed,PAY0002110
ORD0002364,CUST00091,STORE0005,2026-01-09,Completed,PAY0002364
ORD0002379,CUST00094,STORE0017,2026-01-09,Completed,PAY0002379
ORD0002421,CUST00137,STORE0017,2026-01-09,Completed,PAY0002421
ORD0002703,CUST00021,STORE0014,2026-01-09,Completed,PAY0002703
ORD0003457,CUST00024,STORE0011,2026-01-09,Completed,PAY0003457
ORD0003739,CUST00086,STORE0005,2026-01-09,Completed,PAY0003739
ORD0003849,CUST00103,STORE0003,2026-01-09,Completed,PAY0003849
ORD0003971,CUST00033,STORE0014,2026-01-09,Cancelled,PAY0003971
ORD0004138,CUST00049,STORE0005,2026-01-09,Completed,PAY0004138
ORD0000571,CUST00028,STORE0007,2026-01-10,Completed,PAY0000571
ORD0000741,CUST00137,STORE0018,2026-01-10,Completed,PAY0000741
ORD0000747,CUST00063,STORE0013,2026-01-10,Completed,PAY0000747
ORD0000914,CUST00019,STORE0011,2026-01-10,Completed,PAY0000914
ORD0001650,CUST00015,STORE0002,2026-01-10,Completed,PAY0001650
ORD0001953,CUST00076,STORE0004,2026-01-10,Completed,PAY0001953
ORD0002230,CUST00124,STORE0018,2026-01-10,Completed,PAY0002230
ORD0002401,CUST00068,STORE0004,2026-01-10,Completed,PAY0002401
ORD0002457,CUST00129,STORE0012,2026-01-10,Completed,PAY0002457
ORD0002476,CUST00034,STORE0015,2026-01-10,Cancelled,PAY0002476
ORD0003262,CUST00078,STORE0006,2026-01-10,Completed,PAY0003262
ORD0003320,CUST00084,STORE0012,2026-01-10,Completed,PAY0003320
ORD0003466,CUST00007,STORE0014,2026-01-10,Completed,PAY0003466
ORD0003472,CUST00120,STORE0007,2026-01-10,Completed,PAY0003472
ORD0003477,CUST00073,STORE0010,2026-01-10,Completed,PAY0003477
ORD0003564,CUST00134,STORE0005,2026-01-10,Completed,PAY0003564
ORD0003606,CUST00093,STORE0018,2026-01-10,Completed,PAY0003606
ORD0003861,CUST00072,STORE0015,2026-01-10,Completed,PAY0003861
ORD0000541,CUST00105,STORE0004,2026-01-11,Completed,PAY0000541
ORD0000764,CUST00017,STORE0014,2026-01-11,Completed,PAY0000764
ORD0000853,CUST00038,STORE0012,2026-01-11,Cancelled,PAY0000853
ORD0001015,CUST00064,STORE0007,2026-01-11,Completed,PAY0001015
ORD0001616,CUST00137,STORE0005,2026-01-11,Completed,PAY0001616
ORD0001809,CUST00006,STORE0016,2026-01-11,Completed,PAY0001809
ORD0001858,CUST00094,STORE0009,2026-01-11,Completed,PAY0001858
ORD0001960,CUST00112,STORE0005,2026-01-11,Completed,PAY0001960
ORD0002370,CUST00150,STORE0018,2026-01-11,Completed,PAY0002370
ORD0002422,CUST00092,STORE0014,2026-01-11,Completed,PAY0002422
ORD0002544,CUST00105,STORE0011,2026-01-11,Completed,PAY0002544
ORD0002979,CUST00098,STORE0005,2026-01-11,Completed,PAY0002979
ORD0003302,CUST00119,STORE0001,2026-01-11,Completed,PAY0003302
ORD0003933,CUST00135,STORE0016,2026-01-11,Completed,PAY0003933
ORD0004094,CUST00034,STORE0008,2026-01-11,Completed,PAY0004094
ORD0000066,CUST00103,STORE0017,2026-01-12,Completed,PAY0000066
ORD0000093,CUST00069,STORE0016,2026-01-12,Completed,PAY0000093
ORD0000266,CUST00116,STORE0013,2026-01-12,Completed,PAY0000266
ORD0000269,CUST00101,STORE0018,2026-01-12,Completed,PAY0000269
ORD0000351,CUST00083,STORE0016,2026-01-12,Completed,PAY0000351
ORD0000855,CUST00123,STORE0009,2026-01-12,Completed,PAY0000855
ORD0000969,CUST00133,STORE0018,2026-01-12,Completed,PAY0000969
ORD0001207,CUST00130,STORE0008,2026-01-12,Completed,PAY0001207
ORD0001662,CUST00049,STORE0018,2026-01-12,Completed,PAY0001662
ORD0002112,CUST00137,STORE0014,2026-01-12,Completed,PAY0002112
ORD0002130,CUST00063,STORE0001,2026-01-12,Completed,PAY0002130
ORD0002354,CUST00113,STORE0003,2026-01-12,Completed,PAY0002354
ORD0002775,CUST00048,STORE0004,2026-01-12,Completed,PAY0002775
ORD0002959,CUST00056,STORE0008,2026-01-12,Completed,PAY0002959
ORD0003109,CUST00111,STORE0015,2026-01-12,Completed,PAY0003109
ORD0003110,CUST00066,STORE0014,2026-01-12,Completed,PAY0003110
ORD0003265,CUST00078,STORE0009,2026-01-12,Completed,PAY0003265
ORD0003832,CUST00070,STORE0012,2026-01-12,Completed,PAY0003832
ORD0004031,CUST00104,STORE0001,2026-01-12,Completed,PAY0004031
ORD0000060,CUST00061,STORE0015,2026-01-13,Cancelled,PAY0000060
ORD0000376,CUST00110,STORE0006,2026-01-13,Completed,PAY0000376
ORD0000726,CUST00010,STORE0007,2026-01-13,Completed,PAY0000726
ORD0001091,CUST00051,STORE0013,2026-01-13,Completed,PAY0001091
ORD0001139,CUST00094,STORE0011,2026-01-13,Completed,PAY0001139
ORD0001799,CUST00107,STORE0001,2026-01-13,Completed,PAY0001799
ORD0002067,CUST00082,STORE0014,2026-01-13,Completed,PAY0002067
