ProductID,ProductName,Category,SubCategory,Brand,UnitCost,UnitPrice
PROD00001,Beverages Product 1,Grocery,Beverages,Brand_5,18403.59,24639.04
PROD00002,Women Product 2,Fashion,Women,Brand_12,7111.98,9793.58
PROD00003,Appliances Product 3,Home,Appliances,Brand_14,3416.15,4841.6
PROD00004,Appliances Product 4,Home,Appliances,Brand_2,11732.35,14185.5
PROD00005,Kitchen Product 5,Home,Kitchen,Brand_5,17055.57,25505.44
PROD00006,Audio Product 6,Electronics,Audio,Brand_13,4400.65,6374.03
PROD00007,Kitchen Product 7,Home,Kitchen,Brand_14,2519.38,3268.05
PROD00008,Household Product 8,Grocery,Household,Brand_11,29005.57,37921.27
PROD00009,Footwear Product 9,Fashion,Footwear,Brand_8,18688.27,28460.8
PROD00010,Audio Product 10,Electronics,Audio,Brand_3,15073.38,21479.33
PROD00011,Laptop Product 11,Electronics,Laptop,Brand_13,25689.18,39396.81
PROD00012,Furniture Product 12,Home,Furniture,,27857.84,41743.91
PROD00013,Footwear Product 13,Fashion,Footwear,Brand_6,8847.04,12889.42
PROD00014,Men Product 14,Fashion,Men,Brand_3,21524.69,32042.32
PROD00015,Accessories Product 15,Fashion,Accessories,Brand_7,11061.42,16977.12
PROD00016,Accessories Product 16,Electronics,Accessories,Brand_14,26340.66,39122.87
PROD00017,Footwear Product 17,Fashion,Footwear,Brand_3,1016.15,1380.2
PROD00018,Men Product 18,Fashion,Men,Brand_13,14016.79,18573.59
PROD00019,Audio Product 19,Electronics,Audio,Brand_11,15622.47,21401.39
PROD00020,Laptop Product 20,Electronics,Laptop,Brand_13,24162.81,36266.39
PROD00021,Decor Product 21,Home,Decor,Brand_10,14309.81,22045.15
PROD00022,Kitchen Product 22,Home,Kitchen,Brand_1,28959.09,36913.73
PROD00023,Women Product 23,Fashion,Women,Brand_1,9261.57,10927.01
PROD00024,Kitchen Product 24,Home,Kitchen,Brand_11,13920.2,21256.79
PROD00025,Decor Product 25,Home,Decor,Brand_3,11421.27,14036.44
