ReturnID,OrderID,OrderItemID,ReturnDate,ReturnReason,ReturnStatus
RET0000001,ORD0000680,ITEM00002883,2026-05-17,Wrong Item,Approved
RET0000002,ORD0004066,ITEM00003885,2026-09-08,Customer Changed Mind,Approved
RET0000003,ORD0001339,ITEM00000173,2026-09-18,Wrong Item,Approved
RET0000004,ORD0003062,ITEM00000857,2026-05-22,Damaged,Approved
RET0000005,ORD0002242,ITEM00002033,2026-04-30,Damaged,Approved
RET0000006,ORD0001651,ITEM00001383,2026-05-11,Damaged,Approved
RET0000007,ORD0003783,ITEM00000706,2026-03-14,Quality Issue,Approved
RET0000008,ORD0001479,ITEM00003467,2026-04-08,Quality Issue,Approved
RET0000009,ORD0003902,ITEM00003264,2026-04-28,Quality Issue,Approved
RET0000010,ORD0003410,ITEM00003795,2026-10-05,Late Delivery,Approved
RET0000011,ORD0000384,ITEM00000540,2026-08-26,Late Delivery,Approved
RET0000012,ORD0002056,ITEM00003158,2026-04-14,Customer Changed Mind,Approved
RET0000013,ORD0000614,ITEM00002654,2026-07-30,Customer Changed Mind,Approved
RET0000014,ORD0003533,ITEM00003855,2026-02-05,Late Delivery,Approved
RET0000015,ORD0003415,ITEM00001472,2026-04-04,Customer Changed Mind,Approved
RET0000016,ORD0001054,ITEM00000991,2026-02-11,Late Delivery,Approved
RET0000017,ORD0003898,ITEM00003560,2026-03-22,Quality Issue,Approved
RET0000018,ORD0000319,ITEM00002623,2026-04-30,Wrong Item,Approved
RET0000019,ORD0002934,ITEM00000696,2026-05-02,Customer Changed Mind,Approved
RET0000020,ORD0001943,ITEM00002847,2026-06-02,Damaged,Approved
RET0000021,ORD0003216,ITEM00000465,2026-09-19,Wrong Item,Approved
RET0000022,ORD0000713,ITEM00001843,2026-02-05,Quality Issue,Approved
RET0000023,ORD0000059,ITEM00000267,2026-08-28,Late Delivery,Approved
RET0000024,ORD0001206,ITEM00000270,2026-04-13,Quality Issue,Approved
RET0000025,ORD0001932,ITEM00000565,2026-08-26,Customer Changed Mind,Rejected
RET0000026,ORD0003370,ITEM00003854,2026-03-07,Wrong Item,Approved
RET0000027,ORD0001538,ITEM00001550,2026-08-07,Quality Issue,Approved
RET0000028,ORD0000330,ITEM00000019,2026-08-04,Late Delivery,Approved
RET0000029,ORD0003568,ITEM00001722,2026-04-17,Late Delivery,Approved
RET0000030,ORD0000765,ITEM00000791,2026-03-25,Wrong Item,Approved
RET0000031,ORD0000956,ITEM00001188,2026-09-08,Customer Changed Mind,Approved
RET0000032,ORD0001476,ITEM00001663,2026-06-07,Quality Issue,Approved
RET0000033,ORD0001489,ITEM00000034,2026-08-09,Late Delivery,Approved
RET0000034,ORD0004147,ITEM00003773,2026-05-17,Late Delivery,Approved
RET0000035,ORD0004101,ITEM00000996,2026-05-05,Quality Issue,Approved
RET0000036,ORD0002089,ITEM00001167,2026-08-07,Wrong Item,Approved
RET0000037,ORD0000146,ITEM00000925,2026-03-17,Customer Changed Mind,Rejected
RET0000038,ORD0003976,ITEM00001329,2026-05-31,Quality Issue,Approved
RET0000039,ORD0002298,ITEM00003303,2026-08-30,Quality Issue,Approved
RET0000040,ORD0001529,ITEM00002207,2026-07-29,Customer Changed Mind,Approved
RET0000041,ORD0000859,ITEM00002807,2026-03-10,Late Delivery,Approved
RET0000042,ORD0001210,ITEM00000011,2026-09-13,Quality Issue,Approved
RET0000043,ORD0001155,ITEM00001100,2026-05-04,Wrong Item,Approved
RET0000044,ORD0001642,ITEM00000236,2026-03-23,Late Delivery,Approved
RET0000045,ORD0002580,ITEM00002706,2026-05-15,Quality Issue,Approved
RET0000046,ORD0001632,ITEM00001916,2026-08-03,Late Delivery,Approved
RET0000047,ORD0001471,ITEM00000122,2026-07-21,Wrong Item,Rejected
RET0000048,ORD0003167,ITEM00002117,2026-09-19,Customer Changed Mind,Approved
RET0000049,ORD0001575,ITEM00000815,2026-07-26,Quality Issue,Approved
RET0000050,ORD0002716,ITEM00000746,2026-08-19,Late Delivery,Approved
RET0000051,ORD0002345,ITEM00001353,2026-06-18,Wrong Item,Approved
RET0000052,ORD0000114,ITEM00000641,2026-06-04,Wrong Item,Approved
RET0000053,ORD0002742,ITEM00003081,2026-02-04,Late Delivery,Approved
RET0000054,ORD0001206,ITEM00001625,2026-04-07,Quality Issue,Approved
RET0000055,ORD0002834,ITEM00003786,2026-08-17,Customer Changed Mind,Approved
RET0000056,ORD0000472,ITEM00003848,2026-06-07,Quality Issue,Approved
RET0000057,ORD0000227,ITEM00002701,2026-08-29,Customer Changed Mind,Rejected
RET0000058,ORD0002848,ITEM00000388,2026-06-26,Wrong Item,Approved
RET0000059,ORD0002668,ITEM00003708,2026-07-30,Wrong Item,Approved
RET0000060,ORD0001064,ITEM00001345,2026-03-04,Late Delivery,Approved
RET0000061,ORD0003732,ITEM00003788,2026-01-30,Quality Issue,Approved
RET0000062,ORD0002811,ITEM00001412,2026-07-03,Wrong Item,Approved
RET0000063,ORD0000249,ITEM00000570,2026-08-07,Quality Issue,Approved
RET0000064,ORD0003320,ITEM00000051,2026-01-13,Wrong Item,Approved
RET0000065,ORD0002336,ITEM00002179,2026-08-06,Damaged,Approved
RET0000066,ORD0004050,ITEM00002221,2026-03-03,Customer Changed Mind,Rejected
RET0000067,ORD0003991,ITEM00002687,2026-04-19,Quality Issue,Approved
RET0000068,ORD0002591,ITEM00002940,2026-03-23,Late Delivery,Approved
RET0000069,ORD0002618,ITEM00001284,2026-03-16,Wrong Item,Approved
RET0000070,ORD0001834,ITEM00003529,2026-06-05,Wrong Item,Approved
RET0000071,ORD0003795,ITEM00001258,2026-04-23,Wrong Item,Approved
RET0000072,ORD0003412,ITEM00003557,2026-03-15,Quality Issue,Approved
RET0000073,ORD0002814,ITEM00003600,2026-05-12,Damaged,Approved
RET0000074,ORD0003518,ITEM00002970,2026-04-10,Customer Changed Mind,Approved
RET0000075,ORD0001905,ITEM00001400,2026-02-20,Customer Changed Mind,Rejected
RET0000076,ORD0002351,ITEM00002629,2026-05-25,Customer Changed Mind,Approved
RET0000077,ORD0001306,ITEM00003896,2026-09-12,Damaged,Approved
RET0000078,ORD0001246,ITEM00003347,2026-02-06,Wrong Item,Approved
RET0000079,ORD0001915,ITEM00002153,2026-07-09,Quality Issue,Approved
RET0000080,ORD0002254,ITEM00002790,2026-02-07,Wrong Item,Approved
RET0000081,ORD0003654,ITEM00000088,2026-08-01,Damaged,Approved
RET0000082,ORD0004115,ITEM00000761,2026-04-18,Customer Changed Mind,Approved
RET0000083,ORD0004085,ITEM00002304,2026-03-23,Quality Issue,Approved
RET0000084,ORD0001530,ITEM00003656,2026-09-01,Damaged,Approved
RET0000085,ORD0003372,ITEM00000980,2026-08-16,Wrong Item,Approved
RET0000086,ORD0004122,ITEM00000900,2026-04-24,Wrong Item,Approved
RET0000087,ORD0003232,ITEM00000597,2026-08-20,Late Delivery,Approved
RET0000088,ORD0002405,ITEM00001157,2026-07-14,Customer Changed Mind,Approved
RET0000089,ORD0000769,ITEM00003312,2026-05-06,Wrong Item,Approved
RET0000090,ORD0002493,ITEM00003255,2026-02-01,Late Delivery,Approved
RET0000091,ORD0000272,ITEM00003625,2026-08-08,Quality Issue,Approved
RET0000092,ORD0000576,ITEM00001554,2026-04-26,Damaged,Approved
RET0000093,ORD0001113,ITEM00000320,2026-08-25,Wrong Item,Approved
RET0000094,ORD0000016,ITEM00002234,2026-06-29,Wrong Item,Approved
RET0000095,ORD0000498,ITEM00003784,2026-09-17,Customer Changed Mind,Approved
RET0000096,ORD0002879,ITEM00003520,2026-03-01,Damaged,Approved
RET0000097,ORD0001508,ITEM00002205,2026-09-03,Wrong Item,Approved
RET0000098,ORD0000812,ITEM00003177,2026-09-28,Damaged,Approved
RET0000099,ORD0001990,ITEM00001636,2026-08-27,Quality Issue,Approved
RET0000100,ORD0003991,ITEM00001312,2026-04-20,Damaged,Approved
